11F7B1 11F7CB
11F7CB 11F7EE
11F7EE 11F7F5
11F7F5 11F814
11F814 11F825
11F825 11F82F
11F82F 11F83C
11F83C 11F847
11F847 11F876
11F876 11F885
11F885 11F898
11F898 11F8A5
11F8A5 11F8AF
11F8AF 11F8B3
11F8B3 11F8CE
11F8CE 11F8D1
11F8D1 11F8F3
11F8F3 11F900
11F900 11F920
11F920 11F927
11F927 11F930
11F930 11F933
11F933 11F94E
11F94E 11F952
11F952 11F963
11F963 11F96E
11F96E 11F991
11F991 11F9AA
11F9AA 11F9B5
11F9B5 11F9BA
11F9BA 11F9BF
11F9BF 11F9CE
11F9CE 11F9E1
11F9E1 11FA14
11FA14 11FA30
11FA30 11FA3D
11FA3D 11FA49
11FA49 11FA5D
11FA5D 11FA67
11FA67 11FA96
11FA96 11FAB7
11FAB7 11FAE5
11FAE5 11FAEA
11FAEA 11FB31
11FB31 11FB58
11FB58 11FB63
11FB63 11FB72
11FB72 11FB76
11FB76 11FB85
11FB85 11FBAC
11FBAC 11FBC5
11FBC5 11FBD0
11FBD0 11FBE3
11FBE3 11FBF6
11FBF6 11FC03
11FC03 11FC0E
11FC0E 11FC19
11FC19 11FC23
11FC23 11FC4C
11FC4C 11FC55
11FC55 11FC5A
11FC5A 11FC91
11FC91 11FCAA
11FCAA 11FCB6
11FCB6 11FCBF
11FCBF 11FCCB
11FCCB 11FCD0
11FCD0 11FCEF
11FCEF 11FD01
11FD01 11FD1F
11FD1F 11FD40
11FD40 11FD45
11FD45 11FD70
11FD70 11FD7F
11FD7F 11FD89
11FD89 11FD96
11FD96 11FDA5
11FDA5 11FDAE
11FDAE 11FDB2
11FDB2 11FDB7
11FDB7 11FDEC
11FDEC 11FDF6
11FDF6 11FDFA
11FDFA 11FE08
11FE08 11FE23
11FE23 11FE50
11FE50 11FE55
11FE55 11FE5E
11FE5E 11FE63
11FE63 11FE67
11FE67 11FE93
11FE93 11FEA8
11FEA8 11FEBD
11FEBD 11FEC6
11FEC6 11FECC
11FECC 11FED8
11FED8 11FEF4
11FEF4 11FF15
11FF15 11FF2E
11FF2E 11FF53
11FF53 11FF5B
11FF5B 11FF86
11FF86 11FFA5
11FFA5 11FFCB
11FFCB 11FFD6
11FFD6 11FFD7
11FFD7 11FFD8
11FFD8 11FFD9
11FFD9 11FFDA
11FFDA 11FFE0
11FFE0 128000
128051 128061
128061 128071
1289CD 1289DD
1291DD 1291E4
12983E 129880
129AE7 129B00
12A0D2 12A0D6
12A0D6 12A0DA
12A1A9 12A1AC
12A2B3 12A2B7
12A2B7 12A2BB
12A2BB 12A2BF
12A5C8 12A5CC
12B8DC 12B8E4
12B8E4 12B8EC
12B8EC 12B8F4
12B8F4 12B8FC
12B8FC 12B904
12B9E5 12B9E9
12BB9C 12BBA0
12BC16 12BC19
12BC19 12BC1F
12BC1F 12BC25
12C260 12C270
12CF9B 12CF9C
12CF9C 12CF9D
12CF9D 12CF9E
12CF9E 12CFB7
12CFB7 12CFC3
